,CID,mol_id,action,CID_id,mol_id_id,id
309,6018,292335,inhibitor,793,1165,0
310,22297,292335,inhibitor,876,1165,0
311,9854012,12083902,inhibitor,856,1166,0
312,9871419,12083902,inhibitor,913,1166,0
313,60164,291988,inhibitor,30,1173,0
314,4649,291988,inhibitor,47,1173,0
315,4075,291988,inhibitor,53,1173,0
316,1983,291988,inhibitor,102,1173,0
317,3715,291988,inhibitor,109,1173,0
318,4409,291988,inhibitor,182,1173,0
319,3826,291988,inhibitor,184,1173,0
320,54677971,291988,inhibitor,187,1173,0
321,2662,291988,inhibitor,193,1173,0
322,5509,291988,inhibitor,208,1173,0
323,54676228,291988,inhibitor,240,1173,0
324,3342,291988,inhibitor,252,1173,0
325,1548887,291988,inhibitor,269,1173,0
326,3394,291988,inhibitor,329,1173,0
327,4044,291988,inhibitor,373,1173,0
328,5359476,291988,inhibitor,377,1173,0
329,3059,291988,inhibitor,415,1173,0
330,60726,291988,inhibitor,479,1173,0
331,4614,291988,inhibitor,500,1173,0
332,6335412,291988,inhibitor,517,1173,0
333,3672,291988,inhibitor,542,1173,0
334,151166,291988,inhibitor,685,1173,0
335,5161,291988,inhibitor,721,1173,0
336,2206,291988,inhibitor,741,1173,0
337,5468,291988,inhibitor,750,1173,0
338,123619,291988,inhibitor,767,1173,0
339,445154,291988,inhibitor,775,1173,0
340,4488,291988,inhibitor,779,1173,0
341,54690031,291988,inhibitor,883,1173,0
342,71771,291988,inhibitor,886,1173,0
343,151075,291988,inhibitor,896,1173,0
344,119828,291988,inhibitor,901,1173,0
345,134780,291988,inhibitor,934,1173,0
346,39912,291988,inhibitor,979,1173,0
347,25213,291988,inhibitor,1025,1173,0
348,2466,291988,inhibitor,1077,1173,0
349,3878,433201,inhibitor,241,1174,0
350,3341,433201,inhibitor,380,1174,0
351,3341,177807,inhibitor,380,1175,0
352,6324659,190994,inhibitor,32,1176,0
353,5493444,190994,inhibitor,947,1176,0
354,4679,561634,inhibitor,33,1177,0
355,3883,561634,inhibitor,173,1177,0
356,9568614,561634,inhibitor,347,1177,0
357,5029,561634,inhibitor,598,1177,0
358,9578005,561634,inhibitor,824,1177,0
359,41781,1373425,inhibitor,34,1178,0
360,4121,1373425,inhibitor,46,1178,0
361,2732,1373425,inhibitor,99,1178,0
362,3647,1373425,inhibitor,368,1178,0
363,2471,1373425,inhibitor,431,1178,0
364,3278,1373425,inhibitor,442,1178,0
365,6307,1373425,inhibitor,696,1178,0
366,4849,1373425,inhibitor,776,1178,0
367,3878,510296,inhibitor,241,1179,0
368,1549000,510296,inhibitor,850,1179,0
369,2160,189928,inhibitor,106,1183,0
370,68870,189928,inhibitor,1007,1183,0
371,4205,1857143,inhibitor,132,1186,0
372,152946,1574370,inhibitor,37,1187,0
373,3229,1574370,inhibitor,185,1187,0
374,51081,1574370,inhibitor,197,1187,0
375,2764,1574370,inhibitor,225,1187,0
376,3948,1574370,inhibitor,489,1187,0
377,4539,1574370,inhibitor,546,1187,0
378,149096,1574370,inhibitor,602,1187,0
379,9571107,1574370,inhibitor,612,1187,0
380,4583,1574370,inhibitor,616,1187,0
381,60464,1574370,inhibitor,645,1187,0
382,3357,1574370,inhibitor,783,1187,0
383,11567473,1574370,inhibitor,951,1187,0
384,152946,1574722,inhibitor,37,1188,0
385,3229,1574722,inhibitor,185,1188,0
386,51081,1574722,inhibitor,197,1188,0
387,2764,1574722,inhibitor,225,1188,0
