"","CID_id","mol_id","action_id"
"1377",128,1321,2
"3113",1041,1849,0
"2801",429,1626,0
"1385",501,1336,2
"1931",746,1278,2
"2765",456,1367,0
"292",39,1350,1
"1972",894,1391,2
"4007",1133,1832,13
"3247",703,1507,0
"2711",544,1513,0
"3918",462,1369,0
"3508",105,1445,0
"159",491,1342,1
"3147",1047,1284,0
"3273",978,1335,0
"1789",844,1385,2
"2506",859,1894,0
"2279",1228,1522,11
"1279",230,1399,2
"2479",25,1307,0
"2782",485,1664,0
"2684",704,1257,0
"2997",265,1463,0
"593",360,1347,1
"1362",710,1384,2
"2539",554,1556,0
"3827",94,1437,0
"362",1222,1242,1
"445",1094,1262,1
"318",46,1284,1
"336",974,1349,1
"180",3,1236,1
"1911",982,1434,2
"239",848,1885,1
"3820",254,1284,0
"3386",206,1335,0
"3312",874,1327,0
"3089",447,1238,0
"3977",1147,1434,12
"1372",402,1385,2
"1034",1050,1589,2
"10",919,1432,10
"805",818,1260,2
"3541",65,1395,0
"881",709,1304,2
"585",63,1385,1
"985",144,1505,2
"3325",410,1241,0
"3549",792,1800,0
"2926",1203,1912,0
"621",113,1345,1
"3116",548,1441,0
"2375",1203,1528,0
"706",972,1259,1
"783",370,1345,2
"857",21,1291,2
"342",375,1350,1
"1168",307,1384,2
"3803",1220,1867,0
"590",971,1349,1
"1050",239,1250,2
"3304",81,1418,0
"1655",239,1246,2
"2573",57,1373,0
"2008",160,1388,2
"3242",759,1474,0
"70",80,1261,1
"198",202,1562,1
"759",63,1347,1
"1820",254,1259,2
"2228",148,1387,7
"2430",456,1365,0
"3105",1190,1938,0
"309",360,1385,1
"2807",1203,1623,0
"1057",1177,1614,2
"1090",149,1291,2
"3078",968,1238,0
"2163",274,1259,7
"3371",148,1388,0
"2560",1203,1533,0
"1216",445,1386,2
"3444",485,1470,0
"1151",429,1336,2
"1188",19,1260,2
"4047",533,1333,4
"2609",294,1583,0
"2009",954,1623,2
"3315",227,1369,0
"3789",1203,1991,0
"936",143,1343,2
"246",743,1278,1
"529",735,1250,1
"1685",504,1414,2
"3986",897,1642,12
"3857",519,1380,0
"1528",19,1285,2
"1504",254,1389,2
"2575",1203,1992,0
"1192",918,1350,2
"2443",1203,1987,0
"1300",381,1393,2
"3630",406,1696,0
"1826",1176,1274,2
"111",330,1640,1
"3123",96,1438,0
"1713",935,1336,2
"252",784,1486,1
"4052",288,1349,4
"3081",179,1443,0
"2022",1095,1321,2
"500",239,1287,1
"3558",118,1478,0
"24",1081,1490,10
"3513",249,1355,0
"1975",427,1522,2
"2314",449,1727,5
"1348",354,1337,2
"1248",416,1304,2
"3993",1092,1949,13
"734",716,1387,1
"774",118,1336,2
"2209",170,1387,7
"3603",337,1643,0
"2760",754,1366,0
"1185",1218,1350,2
"1426",384,1341,2
"998",652,1285,2
"3701",911,1466,0
"3825",423,1317,0
"2149",659,1345,7
"2724",630,1409,0
"3832",201,1422,0
